s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	w	rh	rh	rh	rh	rh	rh	w	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	w	rh	rh	rh	rh	rh	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	w	w	w	w	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	w	w	w	w	w	s	s
s	s	s	s	w	w	w	w	w	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	t	w	s	s	s	s	s	s	s	s	w	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	w	s	s	s	s	s	s	s	w	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	t	w	s	s	s	s	s	s
s	s	s	w	w	w	w	w	w	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	w	w	w	w	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	w	w	w	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	s	s	s	s	w	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	s	s	s	s	s	s	w	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
